dc_id,dc_name,dc_location,dc_region,dc_priority,sku_id,sku_name,sku_category,customer_id,customer_name,customer_tier,customer_region,current_inventory,forecasted_demand,historical_demand,revenue_per_unit,cost_per_unit,margin,sla_level,risk_score,substitution_sku_id,date,allocated_quantity,fulfillment_rate,lead_time_days,min_order_quantity,safety_stock
DC001,Chicago DC,Chicago IL,North America,5,SKU-NET-001,Network Switch 48-Port,Networking,CUST-001,TechCorp Inc,Strategic,North America,500,450,380|390|420|480|520|450|440|430|420|450,1250.00,950.00,24.0,Gold,0.15,SKU-NET-002,2024-10-14,450,100.0,3,10,50
DC001,Chicago DC,Chicago IL,North America,5,SKU-NET-002,Network Switch 24-Port,Networking,CUST-002,GlobalSoft Ltd,Premium,North America,300,280,200|220|240|260|280|290|285|280|275|280,950.00,720.00,24.2,Silver,0.12,SKU-NET-001,2024-10-14,280,100.0,3,5,40
DC001,Chicago DC,Chicago IL,North America,5,SKU-SRV-001,Server Rack 42U,Servers,CUST-003,DataCenter Pro,Standard,North America,120,100,90|95|85|110|140|160|120|110|105|100,5500.00,4200.00,23.6,Bronze,0.18,SKU-SRV-002,2024-10-14,100,100.0,5,1,15
DC001,Chicago DC,Chicago IL,North America,5,SKU-STO-001,Storage Array 10TB,Storage,CUST-004,CloudBase Inc,Premium,North America,180,200,150|160|170|180|220|250|240|210|205|200,8500.00,6500.00,23.5,Silver,0.16,SKU-STO-002,2024-10-14,180,90.0,4,2,25
DC001,Chicago DC,Chicago IL,North America,5,SKU-CAB-001,Network Cable 100m,Accessories,CUST-005,Cable Solutions,Basic,North America,800,750,600|650|700|720|800|850|820|780|760|750,150.00,110.00,26.7,Bronze,0.10,SKU-CAB-002,2024-10-14,750,100.0,1,20,100
DC002,Dallas DC,Dallas TX,North America,4,SKU-NET-001,Network Switch 48-Port,Networking,CUST-001,TechCorp Inc,Strategic,North America,350,380,320|340|360|380|400|420|410|395|385|380,1250.00,950.00,24.0,Gold,0.14,SKU-NET-002,2024-10-14,350,92.1,2,10,45
DC002,Dallas DC,Dallas TX,North America,4,SKU-NET-002,Network Switch 24-Port,Networking,CUST-002,GlobalSoft Ltd,Premium,North America,220,200,250|240|230|220|210|200|195|200|205|200,950.00,720.00,24.2,Silver,0.13,SKU-NET-001,2024-10-14,200,100.0,3,5,35
DC002,Dallas DC,Dallas TX,North America,4,SKU-SRV-002,Server Rack 24U,Servers,CUST-003,DataCenter Pro,Standard,North America,80,90,70|75|80|85|95|105|100|95|92|90,4200.00,3200.00,23.8,Bronze,0.17,SKU-SRV-001,2024-10-14,80,88.9,4,1,18
DC002,Dallas DC,Dallas TX,North America,4,SKU-STO-001,Storage Array 10TB,Storage,CUST-004,CloudBase Inc,Premium,North America,150,160,120|130|140|150|180|200|190|170|165|160,8500.00,6500.00,23.5,Silver,0.15,SKU-STO-002,2024-10-14,150,93.8,4,2,22
DC002,Dallas DC,Dallas TX,North America,4,SKU-CAB-002,Network Cable 50m,Accessories,CUST-005,Cable Solutions,Basic,North America,600,550,800|750|700|650|600|580|560|550|545|550,120.00,85.00,29.2,Bronze,0.09,SKU-CAB-001,2024-10-14,550,100.0,1,15,80
DC003,Los Angeles DC,Los Angeles CA,North America,3,SKU-NET-001,Network Switch 48-Port,Networking,CUST-001,TechCorp Inc,Strategic,North America,400,420,300|320|350|380|400|450|480|440|430|420,1250.00,950.00,24.0,Gold,0.13,SKU-NET-002,2024-10-14,400,95.2,3,10,55
DC003,Los Angeles DC,Los Angeles CA,North America,3,SKU-NET-003,Router Enterprise,Networking,CUST-002,GlobalSoft Ltd,Premium,North America,200,250,180|200|220|240|280|320|300|270|260|250,2200.00,1700.00,22.7,Silver,0.20,,2024-10-14,200,80.0,3,5,35
DC003,Los Angeles DC,Los Angeles CA,North America,3,SKU-SRV-001,Server Rack 42U,Servers,CUST-003,DataCenter Pro,Standard,North America,90,120,100|105|95|110|130|140|135|125|122|120,5500.00,4200.00,23.6,Bronze,0.19,SKU-SRV-002,2024-10-14,90,75.0,5,1,16
DC003,Los Angeles DC,Los Angeles CA,North America,3,SKU-STO-002,Storage Array 5TB,Storage,CUST-004,CloudBase Inc,Premium,North America,110,130,90|95|100|110|140|160|150|140|135|130,6200.00,4800.00,22.6,Silver,0.18,SKU-STO-001,2024-10-14,110,84.6,5,2,20
DC003,Los Angeles DC,Los Angeles CA,North America,3,SKU-CAB-001,Network Cable 100m,Accessories,CUST-005,Cable Solutions,Basic,North America,850,800,500|600|700|750|900|1000|950|850|825|800,150.00,110.00,26.7,Bronze,0.11,SKU-CAB-002,2024-10-14,800,100.0,1,20,90
DC001,Chicago DC,Chicago IL,North America,5,SKU-NET-003,Router Enterprise,Networking,CUST-004,CloudBase Inc,Premium,North America,180,200,160|170|180|190|220|240|230|210|205|200,2200.00,1700.00,22.7,Silver,0.16,,2024-10-14,180,90.0,3,5,30
DC002,Dallas DC,Dallas TX,North America,4,SKU-CAB-001,Network Cable 100m,Accessories,CUST-001,TechCorp Inc,Strategic,North America,900,850,1000|950|900|850|800|750|770|800|825|850,150.00,110.00,26.7,Gold,0.12,SKU-CAB-002,2024-10-14,850,100.0,1,20,95
DC003,Los Angeles DC,Los Angeles CA,North America,3,SKU-SRV-002,Server Rack 24U,Servers,CUST-005,Cable Solutions,Basic,North America,70,80,60|65|70|75|85|95|90|85|82|80,4200.00,3200.00,23.8,Bronze,0.21,SKU-SRV-001,2024-10-14,70,87.5,4,1,14
DC001,Chicago DC,Chicago IL,North America,5,SKU-STO-002,Storage Array 5TB,Storage,CUST-002,GlobalSoft Ltd,Premium,North America,140,150,100|110|120|130|160|180|170|160|155|150,6200.00,4800.00,22.6,Silver,0.14,SKU-STO-001,2024-10-14,140,93.3,5,2,25
DC002,Dallas DC,Dallas TX,North America,4,SKU-NET-003,Router Enterprise,Networking,CUST-005,Cable Solutions,Basic,North America,160,180,200|190|180|170|160|150|155|165|172|180,2200.00,1700.00,22.7,Bronze,0.19,,2024-10-14,160,88.9,3,5,28
DC003,Los Angeles DC,Los Angeles CA,North America,3,SKU-CAB-002,Network Cable 50m,Accessories,CUST-003,DataCenter Pro,Standard,North America,520,500,400|420|450|480|520|560|540|520|510|500,120.00,85.00,29.2,Bronze,0.13,SKU-CAB-001,2024-10-14,500,100.0,1,15,70
DC001,Chicago DC,Chicago IL,North America,5,SKU-SRV-003,Server Tower,Servers,CUST-005,Cable Solutions,Basic,North America,45,50,40|42|44|46|52|58|56|52|51|50,3800.00,2900.00,23.7,Bronze,0.22,SKU-SRV-001,2024-10-14,45,90.0,6,1,10
